NAME                                       	ID          	SIZE  	MODIFIED     
01047ceb-e3d3-46ce-b4d0-c0c500137923:latest	4a4d42f80706	3.8 GB	22 hours ago	
0b7f66f6-f84e-4c15-a72d-fc3aae4a9f5d:latest	4a4d42f80706	3.8 GB	22 hours ago	
0c86161c-2bec-46b8-aeff-d19dcdc05d26:latest	4a4d42f80706	3.8 GB	21 hours ago	
0fa1dd27-6d94-404d-9453-e4e3d0c29d4a:latest	4a4d42f80706	3.8 GB	7 days ago  	
17fa5137-edcc-4f56-abfb-a2ff4f6dbad9:latest	fd39da8b1f2f	4.1 GB	7 days ago  	
2d4732ff-9bdd-4dbc-a192-7b8d48e9c017:latest	4a4d42f80706	3.8 GB	21 hours ago	
37b4d41c-2062-489e-aaa5-b857186ba070:latest	9b0d7f026e64	4.1 GB	7 days ago  	
3ea73f7a-180d-49c0-8290-2b2195900b39:latest	ca4c6c51e931	4.1 GB	7 days ago  	
453f42be-3845-451c-bcda-3680282e212d:latest	a6847d633cc0	3.8 GB	7 days ago  	
48c9cd31-0450-4821-95f9-c1911c0b3c6a:latest	4a4d42f80706	3.8 GB	23 hours ago	
4f9210d2-dbba-4bc5-9890-7a2aa5d42bf6:latest	4a4d42f80706	3.8 GB	23 hours ago	
57817f4b-9d70-4102-a8f5-2a79005876be:latest	4a4d42f80706	3.8 GB	6 days ago  	
5e1e2fc2-bf2d-4b1f-9dc5-0e7be5572bef:latest	4a4d42f80706	3.8 GB	22 hours ago	
7737bcf2-3663-4196-b8c3-36417a53ac85:latest	4a4d42f80706	3.8 GB	23 hours ago	
7ca3459d-19ff-4ce6-9679-22b505cc9adb:latest	4a4d42f80706	3.8 GB	22 hours ago	
99ce8109-0412-4906-801e-86d7a7dd1c28:latest	71a67d2d1e54	3.8 GB	6 days ago  	
9b8ebcab-1ab8-4e2b-9217-3564837ec2cf:latest	4a4d42f80706	3.8 GB	22 hours ago	
a35e2e19-9770-41c6-8f34-98cfaafee60a:latest	e3cf347f1744	3.8 GB	7 days ago  	
a86ce16c-9a18-4435-bc76-d6c57f7d14c8:latest	4a4d42f80706	3.8 GB	22 hours ago	
aa809ef5-8215-4bf0-bb42-69f15ad4e9e4:latest	71a67d2d1e54	3.8 GB	7 days ago  	
b02ab6db-cc05-4b34-b5da-657e21b1bab2:latest	17a2802906c1	4.1 GB	7 days ago  	
bb284011-4557-47b7-97b1-185682e56151:latest	463399a84456	3.8 GB	7 days ago  	
bc07b886-5c87-43be-9224-499fc5aae69b:latest	72c037a1c967	3.8 GB	23 hours ago	
c23aa4e7-73fe-4e4b-b90e-edd53d578eb2:latest	73cd9595824c	4.1 GB	7 days ago  	
c26bd416-3bc9-40a3-8325-fb0abfe2e083:latest	4a4d42f80706	3.8 GB	22 hours ago	
c53bd60b-6268-4b99-b196-128fcd2813b8:latest	72c037a1c967	3.8 GB	23 hours ago	
ca16b537-4356-4649-bd20-4feafdff573a:latest	4a4d42f80706	3.8 GB	22 hours ago	
d55a129c-dc2a-4af2-b8b3-98d9ec4b8fb7:latest	4a4d42f80706	3.8 GB	21 hours ago	
d5be0d32-d36a-4420-bba7-2ad6165c9561:latest	4a4d42f80706	3.8 GB	22 hours ago	
f22fdfb7-62b0-4571-9535-482af4d989cd:latest	4a4d42f80706	3.8 GB	23 hours ago	
f4a16e57-a073-41d3-8225-6da8c3d6deab:latest	2e5050a20ed9	4.1 GB	7 days ago  	
f791dbed-e304-40d1-a131-718dc4c2730d:latest	4a4d42f80706	3.8 GB	22 hours ago	
fcab2cb1-43a3-40b8-97fa-88fbf5c48d42:latest	a57b665ff5ec	3.8 GB	7 days ago  	
fe31126f-b388-4a14-aecc-31f1c1624007:latest	463399a84456	3.8 GB	6 days ago  	
llama2:7b                                  	fe938a131f40	3.8 GB	7 days ago  	
mistral:7b                                 	d364aa8d131e	4.1 GB	7 days ago  	
neural-chat:7b                             	f4c6a8e532e8	4.1 GB	7 days ago  	
vicuna:7b                                  	370739dc897b	3.8 GB	7 days ago  	
